,2020-03-31,2019-03-31,2018-03-31,2017-03-31
20MICRONS.NS,NaN,NaN,NaN,NaN
21STCENMGM.NS,NaN,NaN,NaN,NaN
3IINFOTECH.NS,16166500000.0,16166400000.0,16153600000.0,11836500000.0
3MINDIA.NS,23713560000,21183226000,23105951000,19315293000
3PLAND.NS,NaN,NaN,NaN,NaN
5PAISA.NS,254780000.0,127390000.0,127390000.0,127390000.0
63MOONS.NS,NaN,NaN,NaN,NaN
A2ZINFRA.NS,NaN,NaN,NaN,NaN
AARTIDRUGS.NS,15765011000.0,14554885000.0,13894114000.0,11910361000.0
AARTIIND.NS,77600000,139900000,83800000,79500000
AARTISURF.NS,75845000.0,500000.0,,
AARVEEDEN.NS,234598000.0,234598000.0,234598000.0,234598000.0
AARVI.NS,1180106000.0,1063507000.0,827734026.0,671969128.0
AAVAS.NS,76580237000.0,56269001000.0,40400554000.0,24506654000.0
ABAN.NS,60062180000.0,136572950000.0,169376830000.0,187277050000.0
ABB.NS,,,,
ABBOTINDIA.NS,NaN,NaN,NaN,NaN
ABCAPITAL.NS,65300000.0,205200000.0,251800000.0,
ABFRL.NS,5504300000.0,4308100000.0,2134600000.0,1272900000.0
ABMINTLTD.NS,NaN,NaN,NaN,NaN
ACC.NS,,,,
ACCELYA.NS,,,,
ACE.NS,801486000.0,876724000.0,884469000.0,560804000.0
ADANIENT.NS,22800400000,20503800000,121380200000,18188000000
ADANIGAS.NS,1099800000.0,1099800000.0,1099800000.0,2567420000.0
ADANIGREEN.NS,184251413000.0,146579950000.0,157085794000.0,61599147000.0
ADANIPORTS.NS,25275600000,16478400000,14750000000,15017200000
ADANIPOWER.NS,NaN,NaN,NaN,NaN
ADANITRANS.NS,11628800000.0,8476100000.0,1394400000.0,2453600000.0
ADFFOODS.NS,NaN,NaN,NaN,NaN
ADHUNIKIND.NS,249148610.0,186316537.0,463518150.0,443471987.0
ADORWELD.NS,136000000,136000000,136000000,136000000
ADROITINFO.NS,173260711.0,513359659.0,559261845.0,464866424.0
ADSL.NS,NaN,NaN,NaN,NaN
ADVANIHOTR.NS,92439000.0,92438500.0,92438500.0,92438500.0
ADVENZYMES.NS,NaN,NaN,NaN,NaN
AEGISCHEM.NS,NaN,NaN,NaN,NaN
AFFLE.NS,NaN,NaN,NaN,NaN
AGARIND.NS,102587000.0,102587000.0,102587000.0,101587000.0
AGCNET.NS,297500000.0,297400000.0,284700000.0,284700000.0
AGRITECH.NS,NaN,NaN,NaN,NaN
AGROPHOS.NS,837575000.0,701274000.0,729710000.0,858067278.0
AHLEAST.NS,115277970.0,115277970.0,115277970.0,115277970.0
AHLUCONT.NS,17591111000.0,14854529000.0,12520778000.0,12323234000.0
AHLWEST.NS,250009000.0,223434000.0,222962000.0,123061000.0
AIAENG.NS,845362000.0,807910000.0,1590668000.0,953137000.0
AIONJSW.NS,47992100000.0,46792100000.0,83089600000.0,136521700000.0
AIRAN.NS,1048609000.0,971111000.0,995100335.0,506381374.0
AJANTPHARM.NS,NaN,NaN,NaN,NaN
AJMERA.NS,1078756000,264192000,308873000,656768000
AKASH.NS,168625000.0,168625340.0,75882670.0,75882670.0
AKSHARCHEM.NS,3229320000.0,3160151000.0,2992189000.0,2190142000.0
AKSHOPTFBR.NS,619492000.0,759919000.0,678530000.0,355736000.0
AKZOINDIA.NS,456000000.0,456000000.0,467000000.0,467000000.0
ALANKIT.NS,83204000.0,28682000.0,22016000.0,33830364.0
ALBERTDAVD.NS,3202168000.0,2946129000.0,2897448000.0,2845288000.0
ALCHEM.NS,241129000.0,242456000.0,250403000.0,281960000.0
ALEMBICLTD.NS,38716000.0,31051000.0,68027000.0,104441000.0
ALICON.NS,9014131000.0,8742257000.0,7811183000.0,5849199000.0
ALKALI.NS,871122104,909843853,889219486,895089636
ALKEM.NS,99433300000,82081900000,76656300000,65680500000
ALKYLAMINE.NS,7833842000.0,7626060000.0,6489168000.0,5224480000.0
ALLCARGO.NS,2100000,82400000,88000000,92200000
ALLSEC.NS,NaN,NaN,NaN,NaN
ALMONDZ.NS,155300000.0,155309802.0,155309802.0,155309802.0
ALOKINDS.NS,NaN,NaN,NaN,NaN
ALPA.NS,210406000.0,210406000.0,210406000.0,210400000.0
ALPHAGEO.NS,3274453367.0,3995427123.0,3739744541.0,3503712205.0
ALPSINDUS.NS,21713000.0,25911000.0,30000000.0,140955000.0
AMARAJABAT.NS,NaN,NaN,NaN,NaN
AMBER.NS,523224000.0,425532000.0,133732000.0,91814000.0
AMBIKCO.NS,57250000.0,57250000.0,57250000.0,57250000.0
AMBUJACEM.NS,,,,
AMDIND.NS,191667000.0,191667000.0,191667000.0,191667000.0
AMJLAND.NS,82000000.0,82000000.0,82000000.0,82000000.0
AMRUTANJAN.NS,29231000.0,29231000.0,29231000.0,29231000.0
ANANTRAJ.NS,NaN,NaN,NaN,NaN
ANDHRACEMT.NS,2935205000.0,2935205000.0,2935205000.0,2935205000.0
ANDHRAPAP.NS,13211396000.0,11860958000.0,10966395000.0,11546223000.0
ANDHRSUGAR.NS,18075612000.0,18591770000.0,16324491000.0,17163478000.0
ANIKINDS.NS,NaN,NaN,NaN,NaN
ANKITMETAL.NS,723511000.0,944068000.0,863457000.0,851866000.0
ANSALAPI.NS,51453841000.0,55760302000.0,31513493000.0,
ANSALHSG.NS,23937452000.0,24215823000.0,18779853000.0,18750304000.0
ANUP.NS,4220688000.0,3971616000.0,413000.0,
APARINDS.NS,NaN,NaN,NaN,NaN
