,2020-03-31,2019-03-31,2018-03-31,2017-03-31
ABB.bo,,,,
AEGISLOG.bo,29207017000.0,24286797000.0,22139338000.0,20354795000.0
AMARAJABAT.bo,170800000.0,170800000.0,170800000.0,170800000.0
AMBALALSA.bo,1864499000.0,2144935000.0,2002538000.0,1636245000.0
HDFC.bo,7298149300000.0,6608751200000.0,5666092100000.0,4741373400000.0
ANDHRAPET.bo,849716000.0,849716000.0,849716000.0,849716000.0
ANSALAPI.bo,74904399000.0,84134430000.0,74409203000.0,
UTIQUE.bo,NaN,NaN,NaN,NaN
ARUNAHTEL.bo,32604000.0,1605000.0,184000.0,2678000.0
BOMDYEING.bo,48118600000.0,51806500000.0,41468100000.0,36371500000.0
ASIANHOTNR.bo,48506000.0,382592000.0,320818000.0,189113000.0
ATUL.bo,41504800000.0,35439700000.0,30135900000.0,27271300000.0
ATVPR.bo,102471000,139291000,83290000,119284000
AUTOLITIND.bo,,111812000.0,111812000.0,111812000.0
BAJAJELEC.bo,227535000.0,204799000.0,204075000.0,202580000.0
BAJAJHIND.bo,1133600000.0,1133600000.0,1133600000.0,1133600000.0
FORCEMOT.bo,30979900000.0,28359800000.0,25229700000.0,26038800000.0
BAJFINANCE.bo,1203400000,1155900000,1155900000,1099800000
BALRAMCHIN.bo,220000000.0,228438000.0,228428000.0,235010000.0
BANCOINDIA.bo,143037000.0,143037000.0,143037000.0,143037000.0
CENTURYTEX.bo,67474900000.0,61748100000.0,103313300000.0,103363200000.0
BANARISUG.bo,367916000,215650000,419305000,184409000
BASF.bo,432900000.0,432900000.0,432900000.0,432900000.0
BATAINDIA.bo,642640000,642640000,642640000,642640000
BEML.bo,50717558000,50123900000,46851087000,47055819000
BEL.bo,243483100000.0,208205800000.0,189605100000.0,175962800000.0
BEPL.bo,165906000.0,165906000.0,165906000.0,165906000.0
TATASTLBSL.bo,NaN,NaN,NaN,NaN
BIHSPONG.bo,15997000.0,16946000.0,17187000.0,14489000.0
BIRLACABLE.bo,300000000,300000000,300000000,300000000
BLUESTARCO.bo,34392600000,33509600000,32362200000,26501800000
DISAQ.bo,276000000.0,250100000.0,298500000.0,304300000.0
BNKCAP.bo,30612000.0,26688000.0,18097000.0,24496000.0
BPL.bo,132790000.0,111950000.0,108595000.0,88441000.0
OAL.bo,NaN,NaN,NaN,NaN
CENTEXT.bo,80000000,80000000,80000000,80000000
CESC.bo,343720700000.0,334696600000.0,329862600000.0,378726700000.0
CHAMBLFERT.bo,145326700000.0,139262700000.0,94632400000.0,80571388000.0
EXIDEIND.bo,243675900000,224409500000,198222200000,177717100000
CIPLA.bo,236625600000.0,239633200000.0,228605500000.0,210370700000.0
DICIND.bo,,,,
CRISIL.bo,,,,
CGPOWER.bo,6816500000.0,4377300000.0,2196800000.0,40278700000.0
DABUR.bo,93540100000.0,84366400000.0,87016300000.0,77322400000.0
DALMIASUG.bo,606300000,331700000,150800000,248400000
ARVIND.bo,71654400000,73336400000,102584300000,86679800000
BALLARPUR.bo,,10274900000.0,6728100000.0,10533400000.0
BHEL.bo,6964100000,6964100000,7342800000,4895200000
HINDPETRO.bo,1284800000.0,4898200000.0,14680600000.0,6316500000.0
IFCI.bo,16959900000.0,16959900000.0,16959900000.0,16620400000.0
MTNL.bo,6370200000.0,6226500000.0,5882800000.0,6052900000.0
MRPL.bo,306419040000.0,327662560000.0,319506110000.0,328397340000.0
CHENNPETRO.bo,128359200000.0,141023200000.0,143060000000.0,116228638000.0
RELCAPITAL.bo,647820000000.0,839730000000.0,831790000000.0,826010000000.0
SBIN.bo,8924612000,8924612000,8924588000,7973504000
SAIL.bo,41305300000.0,41305300000.0,41305300000.0,41305300000.0
TITAN.bo,135497900000.0,117152500000.0,95242100000.0,84079000000.0
IDBI.bo,103805940000.0,77362949000.0,30838627000.0,20588151000.0
DCW.bo,882699000.0,1038486000.0,1216905000.0,1642071000.0
DHAMPURSUG.bo,38691400000.0,39266200000.0,31357200000.0,33313800000.0
DIAMINESQ.bo,10163000.0,5660000.0,2325000.0,94442000.0
ELANTAS.bo,,,,
DRREDDY.bo,831000000.0,830000000.0,830000000.0,829000000.0
EIDPARRY.bo,150240200000.0,159896300000.0,145988200000.0,134312900000.0
PGHL.bo,NaN,NaN,NaN,NaN
ELECTCAST.bo,55927864000,54214098000,54005373000,55193657000
ESABINDIA.bo,153900000.0,153900000.0,153900000.0,153900000.0
ESSELPRO.bo,28059300000.0,25201100000.0,24421100000.0,22587000000.0
ESTER.bo,416969000,416969000,416969000,416969000
FGP.bo,1395132.0,1219077.0,,
PHCAP.bo,23999.0,,,676712.0
FINCABLES.bo,305900000.0,305900000.0,305900000.0,305900000.0
COCKERILL.bo,NaN,NaN,NaN,NaN
UFLEX.bo,722115000.0,722115000.0,722115000.0,722115000.0
FOSECOIND.bo,,,,
GOLDENTOBC.bo,175880000.0,175880000.0,175880000.0,175880000.0
GANESHBE.bo,28570000.0,23700000.0,22540000.0,19210000.0
GARDENSILK.bo,1314900000.0,1434985000.0,1989529000.0,1058098000.0
METROGLOBL.bo,123344000.0,163267000.0,163267000.0,163267000.0
GODFRYPHLP.bo,103988000.0,103988000.0,103988000.0,103988000.0
GODREJIND.bo,204651200000,182712500000,169950000000,152203200000
KANSAINER.bo,48836200000.0,45178900000.0,41299200000.0,36362500000.0
GOODRICKE.bo,284290000.0,227420000.0,198700000.0,175190000.0
GOODYEAR.bo,230700000,230700000,230700000,230700000
GTNINDS.bo,175496000.0,175496000.0,175496000.0,175496000.0
GHCL.bo,1021800000.0,1388400000.0,728100000.0,939400000.0
GFLLIMITED.bo,NaN,NaN,NaN,NaN
GLFL.bo,342000.0,356000.0,694000.0,704000.0
HCL-INSYS.bo,658400000.0,658400000.0,658400000.0,445800000.0
HDFCBANK.bo,5483286000,5446613000,5190181000,5125091000
HEROMOTOCO.bo,196740700000.0,185043600000.0,173967300000.0,153120000000.0
HFCL.bo,38289800000.0,32941900000.0,25884000000.0,22754100000.0
HSCL.bo,25624227000.0,27879012000.0,24162742000.0,21903529000.0
HCC.bo,39325600000.0,9246500000.0,9808700000.0,9383800000.0
HINDOILEXP.bo,1322433000.0,1304933000.0,1304933000.0,1304933000.0
HSIL.bo,144593000,144593000,144593000,144593000
HINDZINC.bo,2210000000.0,2330000000.0,18340000000.0,83880000000.0
NXTDIGITAL.bo,NaN,NaN,NaN,NaN
HMT.bo,3556000000.0,3556016000.0,12040916000.0,12040916000.0
PRAGBOS.bo,-1072268516.0,-933318403.0,-820525238.0,-646419943.0
HLVLTD.bo,NaN,NaN,NaN,NaN
IGPL.bo,307949000.0,307949000.0,307949000.0,307949000.0
INDIAGLYCO.bo,40862334000,37843234000,34214922000,34922506000
INDLEASE.bo,-54121000.0,127250.0,127250.0,127250.0
MARGOFIN.bo,34135000.0,70298000.0,139252.0,121784.0
INDORAMA.bo,2611100000.0,1781100000.0,1518200000.0,1518200000.0
INFY.bo,1138000000.0,1368000000.0,1078000000.0,1206000000.0
INGERRAND.bo,131368000.0,106328000.0,171047000.0,306990000.0
INSILCO.bo,13718000.0,3080000.0,6798000.0,5061000.0
IFSL.bo,367542864.0,437861903.0,350361833.0,299720685.0
ITHL.bo,79945000.0,79945000.0,79945000.0,79945000.0
IONEXCHANG.bo,13821851000.0,11652462000.0,10652240000.0,9707357000.0
ATFL.bo,243690000.0,243690000.0,243690000.0,243690000.0
JISLJALEQS.bo,1031300000.0,1031320000.0,1031320000.0,958920000.0
JASCH.bo,465657000.0,417619000.0,337824000.0,293052000.0
JCTLTD.bo,2096066000,2096066000,1495315000,1495315000
JINDALPOLY.bo,437864000.0,437864000.0,437864000.0,437864000.0
JSWSTEEL.bo,1318200000000.0,1149140000000.0,920180000000.0,880890000000.0
UMANGDAIR.bo,5055000.0,13512000.0,16771000.0,14311000.0
KAJARIACER.bo,24386000000.0,23732300000.0,21402900000.0,20401200000.0
KAKATCEM.bo,1333533000.0,1408284000.0,933907000.0,701974000.0
KSL.bo,218270000.0,218270000.0,218270000.0,218270000.0
KANELIND.bo,-251724899.0,194859100.0,194859100.0,194859100.0
WHIRLPOOL.bo,1268700000.0,1268700000.0,1268700000.0,1268700000.0
KGDENIM.bo,233900000.0,344279000.0,324120000.0,290449000.0
KINETICENG.bo,53300000.0,61481000.0,50430000.0,58591000.0
KIRLOSBROS.bo,28478827000,26658834000,25545810000,24508972000
KIRLOSIND.bo,97100000.0,97100000.0,97100000.0,97087000.0
