,2020-03-31,2019-03-31,2018-03-31,2017-03-31
ABB.bo,,,,
AEGISLOG.bo,995941000,2213883000,1978085000,1192297000
AMARAJABAT.bo,6608000000,4832300000,4713200000,4784900000
AMBALALSA.bo,140616000,42492000,12771000,-182262000
HDFC.bo,214345700000,162317600000,119799000000,110511200000
ANDHRAPET.bo,135882000,698336000,465007000,-73608000
ANSALAPI.bo,-2611531000,-1402236000,-1716996000,
UTIQUE.bo,NaN,NaN,NaN,NaN
ARUNAHTEL.bo,-78857000,-181446000,-139030000,-51713000
BOMDYEING.bo,3278300000,12417200000,351800000,-1265200000
ASIANHOTNR.bo,-590844000,-356573000,-37110000,-158535000
ATUL.bo,6664600000,4322300000,2764800000,3229700000
ATVPR.bo,24522000,-36397000,384419000,1512696000
AUTOLITIND.bo,-71439000,3715000,4518000,6027000
BAJAJELEC.bo,-92804000,1563954000,836349000,1021685000
BAJAJHIND.bo,-499900000,-1365600000,-4996400000,-919800000
FORCEMOT.bo,501700000,1433300000,1471200000,1800900000
BAJFINANCE.bo,52637500000,39949900000,24963700000,18363800000
BALRAMCHIN.bo,5193544000,5758198000,2316630000,5929932000
BANCOINDIA.bo,765767000,690827000,1167718000,972048000
CENTURYTEX.bo,3652500000,60631600000,3716600000,1049900000
BANARISUG.bo,956358000,759385000,872738000,1451655000
BASF.bo,185100000,817200000,2465000000,-141300000
BATAINDIA.bo,3289530000,3289940000,2205130000,1589510000
BEML.bo,638452000,631811000,1296686000,847617000
BEL.bo,18238500000,18864000000,14317200000,15235800000
BEPL.bo,670145000,472119000,1000266000,354529000
TATASTLBSL.bo,NaN,NaN,NaN,NaN
BIHSPONG.bo,-8260000,-1087000,-1227000,-37659000
BIRLACABLE.bo,10161000,470347000,161336000,33345000
BLUESTARCO.bo,1432500000,1900600000,1439600000,1230500000
DISAQ.bo,295800000,286100000,167000000,112900000
BNKCAP.bo,65083000,124195000,33060000,94200000
BPL.bo,37502000,9321000,73453000,530712000
OAL.bo,NaN,NaN,NaN,NaN
CENTEXT.bo,37000000,40300000,37100000,13500000
CESC.bo,13020500000,11839800000,9126000000,6908400000
CHAMBLFERT.bo,12261900000,5902100000,4988447000,3621389000
EXIDEIND.bo,7767500000,8455500000,6909600000,8010500000
CIPLA.bo,15465200000,15277000000,14105300000,10063900000
DICIND.bo,,,,
CRISIL.bo,,,,
CGPOWER.bo,-21669400000,-5035000000,-7187000000,-4908600000
DABUR.bo,14449600000,14423300000,13543900000,12769400000
DALMIASUG.bo,1931900000,1751500000,1223000000,1862600000
ARVIND.bo,956500000,2262300000,3094700000,3146300000
BALLARPUR.bo,,-9309500000,-13949500000,-15710900000
BHEL.bo,-14660100000,10051000000,4411600000,4572600000
HINDPETRO.bo,26387300000,66906300000,72182800000,82358200000
IFCI.bo,-2304400000,-4886700000,3831200000,-3775300000
MTNL.bo,-36937200000,-33880700000,-29709300000,-29360500000
MRPL.bo,-33529180000,3400430000,19926450000,34726410000
CHENNPETRO.bo,-20564000000,-2053500000,9272200000,10508234000
RELCAPITAL.bo,-10750000000,-15130000000,-46340000000,10860000000
SBIN.bo,197678022000,22996391000,-45562900000,2412325000
SAIL.bo,21207100000,23487100000,-2814000000,-27561700000
TITAN.bo,15013900000,14041500000,11300900000,7114700000
IDBI.bo,-128352369000,-149867554000,-81323999000,-50159048000
DCW.bo,-267616000,-42703000,-202016000,201473000
DHAMPURSUG.bo,2165200000,2510400000,1517000000,2285500000
