,2020-03-31,2019-03-31,2018-03-31,2017-03-31
ABB.bo,,,,
AEGISLOG.bo,1339719000,2521061000,2138040000,1329679000
AMARAJABAT.bo,6608000000,4832300000,4713200000,4784900000
AMBALALSA.bo,140584000,42464000,12744000,-182275000
HDFC.bo,228264700000,175805100000,131112100000,118481400000
ANDHRAPET.bo,135882000,698336000,465007000,-73608000
ANSALAPI.bo,-2611531000,-1402236000,-1716996000,
UTIQUE.bo,NaN,NaN,NaN,NaN
ARUNAHTEL.bo,-78857000,-181446000,-139030000,-51713000
BOMDYEING.bo,3288500000,12301100000,351800000,-1265200000
ASIANHOTNR.bo,-647365000,-390683000,-40660000,-161809000
ATUL.bo,6709100000,4360200000,2812400000,3233500000
ATVPR.bo,24522000,-36397000,384419000,1512696000
AUTOLITIND.bo,-71439000,3715000,4518000,6027000
BAJAJELEC.bo,-102875000,1535793000,836349000,1021685000
BAJAJHIND.bo,-500000000,-1365700000,-4996400000,-919800000
FORCEMOT.bo,502700000,1434200000,1472100000,1801800000
BAJFINANCE.bo,52637500000,39949900000,24963700000,18363800000
BALRAMCHIN.bo,5193544000,5758198000,2316630000,5927596000
BANCOINDIA.bo,765767000,833209000,1139677000,972048000
CENTURYTEX.bo,3780800000,4994700000,2795000000,1238900000
BANARISUG.bo,956358000,759385000,872738000,1451655000
BASF.bo,185100000,817200000,2465000000,-141300000
BATAINDIA.bo,3289530000,3289940000,2205130000,1589510000
BEML.bo,636847000,631617000,1296768000,847805000
BEL.bo,18247200000,18866700000,14310300000,15233700000
BEPL.bo,670145000,472119000,1000266000,354529000
TATASTLBSL.bo,NaN,NaN,NaN,NaN
BIHSPONG.bo,-8260000,-1087000,-1227000,-37659000
BIRLACABLE.bo,10161000,470347000,161336000,33345000
BLUESTARCO.bo,1437000000,1904000000,1442300000,1232300000
DISAQ.bo,295800000,286100000,167000000,112900000
BNKCAP.bo,65083000,124195000,33080000,94221000
BPL.bo,37502000,9321000,73453000,530712000
OAL.bo,NaN,NaN,NaN,NaN
CENTEXT.bo,37000000,40300000,37100000,13500000
CESC.bo,13058500000,11980700000,8902200000,6547300000
CHAMBLFERT.bo,12266200000,5985500000,4917339000,3801108000
EXIDEIND.bo,7624800000,8473500000,6941000000,8040200000
CIPLA.bo,14995200000,14924400000,14165700000,10354200000
DICIND.bo,,,,
CRISIL.bo,,,,
CGPOWER.bo,-21599000000,-4915300000,-6654400000,785000000
DABUR.bo,14479200000,14462500000,13577400000,12803100000
DALMIASUG.bo,1931900000,1751500000,1223000000,1862600000
ARVIND.bo,921000000,2387300000,2607400000,3208500000
BALLARPUR.bo,,-8353500000,-8641100000,-15813800000
BHEL.bo,-14683500000,10024200000,4381900000,4551800000
HINDPETRO.bo,26387300000,66906300000,72182800000,82358200000
IFCI.bo,-2232100000,-4759900000,4179400000,-3082300000
MTNL.bo,-36937200000,-33880700000,-29713500000,-29360500000
MRPL.bo,-40391290000,3512610000,17735630000,32932100000
CHENNPETRO.bo,-20564000000,-2053500000,9272200000,10508234000
RELCAPITAL.bo,-11990000000,-14610000000,-45560000000,12480000000
SBIN.bo,211399689000,33505535000,-37492540000,-973887000
SAIL.bo,21207100000,23487100000,-2814000000,-27561700000
TITAN.bo,14926600000,13886500000,11019100000,6972800000
IDBI.bo,-128193017000,-149697618000,-81158888000,-49968949000
DCW.bo,-267616000,-42703000,-202016000,201473000
DHAMPURSUG.bo,2240300000,2654800000,1512600000,2291800000
DIAMINESQ.bo,239858000,131318000,70890000,47981000
ELANTAS.bo,,,,
DRREDDY.bo,19498000000,18795000000,9806000000,12039000000
EIDPARRY.bo,8888800000,4376500000,5174300000,7082500000
PGHL.bo,NaN,NaN,NaN,NaN
ELECTCAST.bo,1614837000,386581000,1241870000,1440736000
ESABINDIA.bo,714100000,575900000,371500000,268600000
ESSELPRO.bo,2115800000,1953900000,1742100000,1956000000
ESTER.bo,994987000,311063000,52940000,-106880000
FGP.bo,-12424746,4155935,-3745491,-3175980
PHCAP.bo,-26715605,,,-585076
FINCABLES.bo,3910000000,4074700000,3301100000,4002400000
COCKERILL.bo,NaN,NaN,NaN,NaN
UFLEX.bo,3708744000,3152148000,3122046000,3507503000
FOSECOIND.bo,,,,
GOLDENTOBC.bo,-15866000,272638000,-80861000,-293954000
GANESHBE.bo,336560000,312670000,806880000,127540000
GARDENSILK.bo,-2076000000,-897683000,-838272000,-931093000
METROGLOBL.bo,79778000,124740000,178700000,135095000
GODFRYPHLP.bo,3847753000,2602640000,1590465000,1368699000
GODREJIND.bo,6345400000,9387300000,4843600000,4588200000
KANSAINER.bo,5157800000,4476600000,5137500000,5100800000
GOODRICKE.bo,163210000,94940000,317220000,331320000
GOODYEAR.bo,888400000,1020700000,1299600000,1273700000
GTNINDS.bo,-54435000,-83532000,-62413000,-47248000
GHCL.bo,3966200000,3505800000,3563500000,3800500000
GFLLIMITED.bo,NaN,NaN,NaN,NaN
GLFL.bo,3720000,-3840000,-3698000,-2873000
HCL-INSYS.bo,-2897600000,-1736000000,-2085800000,-1236800000
HDFCBANK.bo,272962653000,224456129000,185613631000,152622908000
HEROMOTOCO.bo,36594100000,34663500000,37221700000,35463000000
HFCL.bo,2373300000,2322600000,1717000000,1237100000
HSCL.bo,2053591000,3242355000,2475976000,824382000
HCC.bo,1970300000,-3411400000,-10900000000,-9826000000
HINDOILEXP.bo,1375632000,1567431000,375210000,360648000
HSIL.bo,484161000,700453000,741002000,1002929000
HINDZINC.bo,68050000000,79560000000,92760000000,83160000000
NXTDIGITAL.bo,NaN,NaN,NaN,NaN
HMT.bo,-670900000,-354670000,-1183334000,-1494838000
PRAGBOS.bo,-164957935,-112793165,-212651221,-184408808
HLVLTD.bo,NaN,NaN,NaN,NaN
IGPL.bo,208780000,1168482000,1460309000,1015660000
INDIAGLYCO.bo,1146557000,1326141000,965272000,350440000
INDLEASE.bo,13054000,-3803586,119998,-795288
MARGOFIN.bo,5000,-973000,2038129,3106290
INDORAMA.bo,-3165400000,-2710600000,-826900000,-802500000
INFY.bo,2338000000,2200000000,2486000000,2140000000
INGERRAND.bo,846007000,809312000,888882000,772730000
INSILCO.bo,-104731000,-60405000,3643000,49064000
IFSL.bo,-63809070,-6548573,59306923,41484639
ITHL.bo,-74108000,26797000,69540000,111724000
IONEXCHANG.bo,940132000,659085000,398583000,288421000
ATFL.bo,338480000,342540000,315630000,276680000
JISLJALEQS.bo,-7194400000,2542330000,2212930000,1762380000
JASCH.bo,35537000,79794000,43929000,62572000
JCTLTD.bo,-445642000,-233778000,-360433000,-172833000
JINDALPOLY.bo,4886445000,-4086489000,1523776000,2694008000
JSWSTEEL.bo,39190000000,75240000000,61130000000,34670000000
UMANGDAIR.bo,28299000,50461000,52706000,16499000
KAJARIACER.bo,2535300000,2287500000,2286000000,2538100000
KAKATCEM.bo,-7260000,51574000,104798000,288320000
KSL.bo,1340800000,1313790000,1152530000,1558720000
KANELIND.bo,-2078000,-3927017,-911641,-16120920
WHIRLPOOL.bo,4901900000,4097400000,3506700000,3104900000
KGDENIM.bo,-164100000,85259000,9118000,233618000
KINETICENG.bo,-91200000,-81636000,-77733000,-130150000
KIRLOSBROS.bo,718871000,30837000,499859000,35706000
KIRLOSIND.bo,1506300000,1317400000,680500000,1193732000
KIRLFER.bo,1123700000,981100000,380000000,878300000
ENVAIREL.bo,-14975990,-32496427,32536018,-3118083
KOTAKBANK.bo,85933610000,72041305000,62576426000,50192614000
MAVIIND.bo,-1358465,823201,-592161,-10253280
KSB.bo,NaN,NaN,NaN,NaN
LGBBROSLTD.bo,912824000,995641000,894833000,752023000
TRENT.bo,1059800000,948400000,870400000,586600000
LAXMIMACH.bo,277742000,1853812000,2146401000,1864076000
LICHSGFIN.bo,24036600000,24343700000,20081500000,19422786000
UTTAMVALUE.bo,-3685200000,-6303800000,-4665100000,-5114000000
LUPIN.bo,-3998800000,5210200000,2583500000,25646300000
LYKALABS.bo,-626203000,-63519000,-190049000,-65966000
RAMCOCEM.bo,6050700000,5114300000,5655000000,6639800000
MAFATIND.bo,-137080000,-1800704000,-417782000,41240000
MAHSEAMLES.bo,1146956000,2019357000,2001264000,1158192000
MAHSCOOTER.bo,1799427000,728002000,607577000,130674000
MAJESAUT.bo,-209015000,564922000,103736000,103492000
MANALIPETC.bo,466573000,765932000,578994000,395551000
MFSL.bo,2728500000,4164721000,4418402000,5932739000
MESPHAR-B.bo,-983321,-4098033,-873490,-2589674
MIDINDIA.bo,-359680,-25843940,-42894640,-22471860
MIRCELECTR.bo,-114697000,-44022000,234925000,-192421000
CENTENKA.bo,955300000,765800000,700900000,909700000
LORDSCHLO.bo,103002000,229892000,84725000,35866000
SPICEJET.bo,-9365680000,-3024110000,5572060000,4272200000
MOREPENLAB.bo,335789000,288404000,297709000,236302000
MRF.bo,14225700000,11306100000,11316100000,14862200000
HEIDELBERG.bo,2680600000,2206600000,1331800000,762100000
NCC.bo,3141100000,5675700000,1387300000,84040000
VEDL.bo,-47440000000,96980000000,136920000000,113160000000
NAHARSPING.bo,-530596000,651207000,-321835000,459725000
NATPEROX.bo,179156000,1537968000,958371000,386351000
GRASIM.bo,66774800000,27447400000,36876200000,42456100000
PEL.bo,-5533100000,16896200000,51202800000,12520400000
NIITLTD.bo,13577300000,993880000,636820000,420850000
JAYKAY.bo,-5349046,25416280,11401296,16908712
NIRLON.bo,1094757000,636779000,556902000,510804000
ONGC.bo,115601480000,339380080000,260679860000,291691190000
OILCOUNTUB.bo,-621302000,-830031000,-369832000,-894307000
ORIENTHOT.bo,-82590000,915852000,61243000,49824000
OSWALAGRO.bo,323883930,263812690,272170890,310955290
INDSUCR.bo,122813717,43639505,83574701,298696573
RELIANCE.bo,443240000000,398370000000,360800000000,298330000000
PILITA.bo,7991000,31428000,107971000,91368000
PENTAGRAPH.bo,,-54629000,1082000,8539000
RAYMOND.bo,2017572000,1747728000,1415468000,300132000
PIDILITIND.bo,11220500000,9283900000,9660900000,8632200000
PIXTRANS.bo,302350000,285657000,225635000,162500000
BIRLACORPN.bo,5051800000,2557000000,1539500000,2194715000
SURYAROSNI.bo,1025500000,1208100000,1080400000,716300000
PRIMESECU.bo,78900000,126300000,143048000,134131000
PRSMJOHNSN.bo,NaN,NaN,NaN,NaN
RAIN.bo,,,,
AMJLAND.bo,98047000,43941000,33332000,68609000
PUNJCOMMU.bo,-114304000,-27019000,-48314000,-62867000
RSWM.bo,-134167000,-377489000,209822000,1040989000
RAJSREESUG.bo,-493524000,-418426000,-125778000,300466000
RALLIS.bo,1836880000,1547839000,1670169000,2970697000
RAMANEWS.bo,-446371000,382274000,-299136000,-89039000
RAMAPPR-B.bo,20137000,247968365,189292,-216138956
RAMAPETRO.bo,-28554605,12717792,35879826,-13799302
RAPICUT.bo,-848625,28402619,31638363,29762008
WELSPLSOL.bo,NaN,NaN,NaN,NaN
ROLTA.bo,-9149100000,-36574200000,-1056900000,1667400000
RUBFILA.bo,168744000,177012000,210752000,125227000
RUCHISOYA.bo,,-880432000,-57546046000,-13625558000
SALORAINTL.bo,-135397000,-52112000,-104316000,-22792000
JINDALSAW.bo,4749784000,7759916000,6126000,1303213000
JKLAKSHMI.bo,2529400000,406200000,433600000,872600000
SHREECEM.bo,15440600000,10150500000,13841500000,13390800000
SKPMIL.bo,-53660000,45022000,6184000,237409000
RELINFRA.bo,9115900000,-62772500000,3865100000,13980300000
STEELCO.bo,NaN,NaN,NaN,NaN
TATAPOWER.bo,17266700000,27315000000,26825900000,10965900000
SPMLINFRA.bo,NaN,NaN,NaN,NaN
SUNDRMFAST.bo,3265300000,4589700000,3881700000,3381800000
SUNFLAG.bo,920700000,1103000000,1286600000,652200000
