,2020-03-31,2019-03-31,2018-03-31,2017-03-31
ABB.bo,,,,
AEGISLOG.bo,1463112000,5562952000,1914581000,1769609000
AMARAJABAT.bo,11765600000,5411400000,3216600000,5528900000
AMBALALSA.bo,25331000.0,20418000.0,20126000.0,41637000.0
HDFC.bo,-268850100000.0,-443014100000.0,-579280100000.0,-141730900000.0
ANDHRAPET.bo,127276000,104735000,94927000,90361000
ANSALAPI.bo,259152000.0,228097000.0,236454000.0,
UTIQUE.bo,NaN,NaN,NaN,NaN
ARUNAHTEL.bo,-40290000.0,-80470000.0,-396777000.0,19124000.0
BOMDYEING.bo,329700000,296800000,296100000,308000000
ASIANHOTNR.bo,,14277000.0,51307000.0,12292000.0
ATUL.bo,4700000,-1200000,10500000,-13300000
ATVPR.bo,551000,1331000,2405000,6530000
AUTOLITIND.bo,,38012000.0,31007000.0,27450000.0
BAJAJELEC.bo,6264421000,-6205082000,-1028703000,4369527000
BAJAJHIND.bo,-1300000,-1700000,-1300000,-1100000
FORCEMOT.bo,1877600000,1509200000,1292600000,1130800000
BAJFINANCE.bo,-244261800000.0,-290615300000.0,-205655900000.0,-104389500000.0
BALRAMCHIN.bo,8496099000.0,-5230099000.0,11798419000.0,3456446000.0
BANCOINDIA.bo,325582000,289531000,268375000,324577000
CENTURYTEX.bo,2271900000,2083400000,3166900000,3161000000
BANARISUG.bo,8291000.0,34164000.0,30794000.0,8666000.0
BASF.bo,2300000.0,-237900000.0,36800000.0,12200000.0
BATAINDIA.bo,2944610000,633940000,600720000,646300000
BEML.bo,8449000,19069000,33677000,49809000
BEL.bo,3682300000.0,3381300000.0,2717200000.0,2116300000.0
BEPL.bo,43714000.0,30111000.0,120233000.0,19936000.0
TATASTLBSL.bo,NaN,NaN,NaN,NaN
BIHSPONG.bo,984000.0,-1764000.0,-103000.0,4609000.0
BIRLACABLE.bo,116774000,104594000,76253000,77277000
BLUESTARCO.bo,-68200000.0,137500000.0,75100000.0,163000000.0
DISAQ.bo,37400000.0,23200000.0,21500000.0,21900000.0
BNKCAP.bo,3096000.0,931000.0,1320000.0,2044000.0
BPL.bo,1872000.0,4301000.0,4607000.0,4349000.0
OAL.bo,NaN,NaN,NaN,NaN
CENTEXT.bo,40500000,-126200000,37500000,-94600000
CESC.bo,7783400000.0,7637800000.0,8110000000.0,7147800000.0
CHAMBLFERT.bo,-70600000,-63300000,-63782000,-126787000
EXIDEIND.bo,16191900000,16867700000,9143500000,9372600000
CIPLA.bo,30684500000,16911400000,14627600000,23817600000
DICIND.bo,,,,
CRISIL.bo,,,,
CGPOWER.bo,-494400000.0,-3663400000.0,-12004600000.0,-2383000000.0
DABUR.bo,2100000,6700000,-9400000,-1900000
DALMIASUG.bo,78700000,44300000,28100000,18800000
ARVIND.bo,8604700000,23581600000,4284900000,5510900000
BALLARPUR.bo,,8544500000.0,4172000000.0,-8057900000.0
BHEL.bo,4899300000.0,4757400000.0,7873300000.0,8497900000.0
HINDPETRO.bo,33486600000,30853100000,28344000000,27763700000
IFCI.bo,100000.0,100000.0,100000.0,100000.0
MTNL.bo,9858400000,9936100000,10446300000,11016100000
MRPL.bo,10841030000.0,10457960000.0,9646920000.0,9798510000.0
CHENNPETRO.bo,239300000.0,351200000.0,214400000.0,216450000.0
RELCAPITAL.bo,610000000.0,500000000.0,640000000.0,1160000000.0
SBIN.bo,36615585000.0,34958921000.0,31050710000.0,29146843000.0
SAIL.bo,37557300000,33853400000,30659700000,26816200000
TITAN.bo,-3474100000,12429200000,-511200000,17123000000
IDBI.bo,-214660000,-20280000,-221108000,-114320000
DCW.bo,872079000.0,833556000.0,877994000.0,679291000.0
DHAMPURSUG.bo,756500000.0,700700000.0,574800000.0,542100000.0
