,2020-03-31,2019-03-31,2018-03-31,2017-03-31
20MICRONS.NS,241171000,249811000,188351000,158394000
21STCENMGM.NS,NaN,NaN,NaN,NaN
3IINFOTECH.NS,676100000,672500000,704000000,947300000
3MINDIA.NS,3221692000,3661799000,3333508000,2407574000
3PLAND.NS,NaN,NaN,NaN,NaN
5PAISA.NS,-78960000,-189530000,-252990000,-116900000
63MOONS.NS,NaN,NaN,NaN,NaN
A2ZINFRA.NS,NaN,NaN,NaN,NaN
AARTIDRUGS.NS,1414006000,897515000,823067000,818020000
AARTIIND.NS,5360800000,4917300000,3329600000,3157800000
AARTISURF.NS,20861000,-64794000,,
AARVEEDEN.NS,-419269000,10888000,56085000,11860000
AARVI.NS,71780000,86329000,77744660,53551088
AAVAS.NS,2490416000,1760309000,930356000,578517000
ABAN.NS,-89726130000,-52734490000,-26064750000,-10408330000
ABB.NS,,,,
ABBOTINDIA.NS,NaN,NaN,NaN,NaN
ABCAPITAL.NS,9197800000,8709400000,6930600000,5300000000
ABFRL.NS,-1630100000,3212200000,1177900000,535000000
ABMINTLTD.NS,NaN,NaN,NaN,NaN
ACC.NS,,,,
ACCELYA.NS,,,,
ACE.NS,524884000,560408000,520828000,153287000
ADANIENT.NS,11381700000,7171400000,7572500000,9877400000
ADANIGAS.NS,4363200000,2287000000,1619700000,1011916000
ADANIGREEN.NS,-232325000,-4739124000,-1375158000,-466728000
ADANIPORTS.NS,37631300000,39902200000,36736200000,39115200000
ADANIPOWER.NS,NaN,NaN,NaN,NaN
ADANITRANS.NS,7418200000,5592000000,11429400000,4164300000
ADFFOODS.NS,NaN,NaN,NaN,NaN
ADHUNIKIND.NS,10081795,38145225,48609322,22935618
ADORWELD.NS,287700000,245400000,184100000,178500000
ADROITINFO.NS,-311937592,-10283943,104778095,156030961
ADSL.NS,NaN,NaN,NaN,NaN
ADVANIHOTR.NS,112616000,113705976,86343135,89341388
ADVENZYMES.NS,NaN,NaN,NaN,NaN
AEGISCHEM.NS,NaN,NaN,NaN,NaN
AFFLE.NS,NaN,NaN,NaN,NaN
AGARIND.NS,255539000,134453000,102769000,89618000
AGCNET.NS,411200000,-787700000,149300000,103300000
AGRITECH.NS,NaN,NaN,NaN,NaN
AGROPHOS.NS,39218000,8279000,13584000,11983771
AHLEAST.NS,-75120703,35408382,-57310037,-34965255
AHLUCONT.NS,643915000,1173155000,1154182000,862417000
AHLWEST.NS,9900000,748448000,-86306000,-312300000
AIAENG.NS,5903580000,5108305000,4433522000,4567693000
AIONJSW.NS,-4918800000,-35521100000,-17583300000,-21295800000
AIRAN.NS,67242000,41436000,50665011,22994819
AJANTPHARM.NS,NaN,NaN,NaN,NaN
AJMERA.NS,327018000,752298000,822811000,651816000
AKASH.NS,6337000,17095124,20337207,45134572
AKSHARCHEM.NS,157227000,225895000,305614000,529173000
AKSHOPTFBR.NS,-3593050000,107708000,208377000,96612000
AKZOINDIA.NS,2374000000,2110000000,4001000000,2470000000
ALANKIT.NS,139580000,139881000,217417000,132768164
ALBERTDAVD.NS,191686000,266399000,98408000,159551000
ALCHEM.NS,-467287000,-496430000,-169106000,-1073206000
ALEMBICLTD.NS,3291179000,2131038000,1629790000,1453903000
ALICON.NS,170334000,529522000,386788000,246804000
ALKALI.NS,12548851,16921482,13068656,3524147
ALKEM.NS,11270700000,7605100000,6309400000,8920300000
ALKYLAMINE.NS,2013233000,861039000,660002000,518185000
ALLCARGO.NS,2230000000,2419600000,1713500000,2318200000
ALLSEC.NS,NaN,NaN,NaN,NaN
ALMONDZ.NS,43300000,96608872,63328341,3730293
ALOKINDS.NS,NaN,NaN,NaN,NaN
ALPA.NS,18534000,10117000,28068000,25199999
ALPHAGEO.NS,-87671230,454125638,544891774,505430566
ALPSINDUS.NS,-1122383000,-632629000,-1196605000,-1168363000
AMARAJABAT.NS,NaN,NaN,NaN,NaN
AMBER.NS,1584037000,936597000,623058000,221438000
AMBIKCO.NS,522570000,631830000,610677000,557383000
AMBUJACEM.NS,,,,
AMDIND.NS,51816000,2307000,-7410000,20195000
AMJLAND.NS,98047000,43941000,33332000,68609000
AMRUTANJAN.NS,250833000,245143000,199730000,211426000
ANANTRAJ.NS,NaN,NaN,NaN,NaN
ANDHRACEMT.NS,-1683173000,-1801349000,-710949000,-1031198000
ANDHRAPAP.NS,2129243000,2000766000,830671000,323956000
ANDHRSUGAR.NS,2030853000,1904848000,1165433000,1214132000
ANIKINDS.NS,NaN,NaN,NaN,NaN
ANKITMETAL.NS,-750446000,-922650000,-1812986000,-2992966000
ANSALAPI.NS,-2611531000,-1402236000,-1716996000,
ANSALHSG.NS,-579020000,-39491000,-190903000,-32555000
ANUP.NS,429683000,419859000,-183429,
APARINDS.NS,NaN,NaN,NaN,NaN
APCL.NS,403500000,231600000,234400000,448800000
APCOTEXIND.NS,166272000,466048000,386364000,349852000
APEX.NS,606417000,607960000,791005000,251268000
APLAPOLLO.NS,2379700000,1482500000,1581300000,1521100000
APLLTD.NS,8288200000,5843700000,4126300000,4031600000
