,2020-03-31,2019-03-31,2018-03-31,2017-03-31
20MICRONS.NS,241761000,250394000,189279000,159225000
21STCENMGM.NS,NaN,NaN,NaN,NaN
3IINFOTECH.NS,680300000,681500000,711100000,940700000
3MINDIA.NS,3221692000,3431450000,3233010000,2407574000
3PLAND.NS,NaN,NaN,NaN,NaN
5PAISA.NS,-78960000,-189530000,-252990000,-116900000
63MOONS.NS,NaN,NaN,NaN,NaN
A2ZINFRA.NS,-2781438000,2872314000,-874441000,-3057002000
AARTIDRUGS.NS,1413985000,897515000,823067000,818020000
AARTIIND.NS,5467600000,5041700000,3461300000,3275400000
AARTISURF.NS,20861000,-64794000,,
AARVEEDEN.NS,-419269000,10888000,56085000,11860000
AARVI.NS,71780000,86329000,77744660,53551088
AAVAS.NS,2490416000,1760309000,930356000,578517000
ABAN.NS,-89726130000,-52734490000,-26064750000,-10408330000
ABB.NS,,,,
ABBOTINDIA.NS,5929326000,4503318000,4012178000,2766488000
ABCAPITAL.NS,8661100000,8113000000,6930800000,6911500000
ABFRL.NS,-1650200000,3212200000,1177900000,535000000
ABMINTLTD.NS,-48044000,-17860000,,6624000
ACC.NS,,,,
ACCELYA.NS,,,,
ACE.NS,524705000,560229000,520152000,140121000
ADANIENT.NS,10399900000,4151300000,5465900000,9640500000
ADANIGAS.NS,4363200000,2287000000,1619700000,1011916000
ADANIGREEN.NS,-679634000,-4750559000,-1375158000,-466728000
ADANIPORTS.NS,37845300000,40447500000,36899500000,39015000000
ADANIPOWER.NS,-22747700000,-9844000000,-21029500000,-61741000000
ADANITRANS.NS,7064900000,5592000000,11429400000,4164300000
ADFFOODS.NS,427748000,253346000,180732000,145878000
ADHUNIKIND.NS,10081795,38145225,48609322,22935618
ADORWELD.NS,287700000,245400000,184100000,178500000
ADROITINFO.NS,-311937592,-10283943,104778095,156030961
ADSL.NS,192400000,123700000,99700000,-3500000
ADVANIHOTR.NS,112616000,113705976,86343135,89341388
ADVENZYMES.NS,1330490000,1159030000,935560000,929440000
AEGISCHEM.NS,1339719000,2521061000,2138040000,1329679000
AFFLE.NS,655170000,488210000,88310000,3300000
AGARIND.NS,255539000,134453000,102769000,89618000
AGCNET.NS,411200000,-787700000,149300000,103300000
AGRITECH.NS,NaN,NaN,NaN,NaN
AGROPHOS.NS,39218000,8279000,13584000,11983771
AHLEAST.NS,-75091730,35327902,-57374467,-35027404
AHLUCONT.NS,643915000,1173155000,1154182000,862417000
AHLWEST.NS,9894000,744485000,-113548000,-312300000
AIAENG.NS,5903201000,5114377000,4436210000,4572132000
AIONJSW.NS,-4920000000,-35522400000,-17592900000,-21323200000
AIRAN.NS,67242000,41436000,50665011,22994819
AJANTPHARM.NS,4677000000,3869700000,4686400000,5068300000
AJMERA.NS,329422000,762541000,844488000,660969000
AKASH.NS,6321000,17095124,20337207,45134572
AKSHARCHEM.NS,157227000,225895000,305614000,529173000
