,2020-03-31,2019-03-31,2018-03-31,2017-03-31
20MICRONS.NS,NaN,NaN,NaN,NaN
21STCENMGM.NS,NaN,NaN,NaN,NaN
3IINFOTECH.NS,1685800000.0,1370300000.0,927400000.0,1294000000.0
3MINDIA.NS,2450467000.0,2529817000.0,361954000.0,3649251000.0
3PLAND.NS,NaN,NaN,NaN,NaN
5PAISA.NS,-78960000.0,-189530000.0,-252990000.0,-116900000.0
63MOONS.NS,NaN,NaN,NaN,NaN
A2ZINFRA.NS,NaN,NaN,NaN,NaN
AARTIDRUGS.NS,-253890000,-253890000,-240625000,-270000000
AARTIIND.NS,11020600000.0,7362000000.0,3349000000.0,4700700000.0
AARTISURF.NS,181109000.0,-126780000.0,,
AARVEEDEN.NS,48888000.0,12324000.0,10770000.0,-62381000.0
AARVI.NS,13329000.0,-37921000.0,14392895.0,44897238.0
AAVAS.NS,2490416000,1760309000,930356000,578517000
ABAN.NS,226110000,436550000,94560000,-427210000
ABB.NS,,,,
ABBOTINDIA.NS,NaN,NaN,NaN,NaN
ABCAPITAL.NS,9197800000,8709400000,6930600000,5300000000
ABFRL.NS,-1630100000,3212200000,1177900000,535000000
ABMINTLTD.NS,NaN,NaN,NaN,NaN
ACC.NS,,,,
ACCELYA.NS,,,,
ACE.NS,-50590000,17344000,8109000,21280000
ADANIENT.NS,11508100000.0,-4355800000.0,4131100000.0,301100000.0
ADANIGAS.NS,-706300000,699700000,680500000,52985000
ADANIGREEN.NS,3832352000.0,34780000.0,1624468000.0,758523000.0
ADANIPORTS.NS,23972700000,39747100000,-1267300000,1087100000
ADANIPOWER.NS,NaN,NaN,NaN,NaN
ADANITRANS.NS,7418200000,5592000000,11429400000,4164300000
ADFFOODS.NS,NaN,NaN,NaN,NaN
ADHUNIKIND.NS,247129803,416545177,337422649,-23562587
ADORWELD.NS,-216300000,106500000,-40900000,73400000
ADROITINFO.NS,-728458.0,-1325168.0,-993633.0,-825398.0
ADSL.NS,NaN,NaN,NaN,NaN
ADVANIHOTR.NS,13404000,-119369294,94875659,23531768
ADVENZYMES.NS,NaN,NaN,NaN,NaN
AEGISCHEM.NS,NaN,NaN,NaN,NaN
AFFLE.NS,NaN,NaN,NaN,NaN
AGARIND.NS,24784000.0,-13802000.0,-12696000.0,-56421000.0
AGCNET.NS,1099300000,1967200000,-67400000,-102600000
AGRITECH.NS,NaN,NaN,NaN,NaN
AGROPHOS.NS,31326000.0,24800000.0,-4123000.0,-65757706.0
AHLEAST.NS,-3767678,-160461656,146722907,3470296
AHLUCONT.NS,273848000,622258000,-85006000,476657000
AHLWEST.NS,61619000.0,-180347000.0,165028000.0,8598000.0
AIAENG.NS,-598166000,271525000,-604446000,1235121000
AIONJSW.NS,-1296400000,737900000,130000000,-625800000
AIRAN.NS,-3621000.0,16177000.0,-111103582.0,96844024.0
AJANTPHARM.NS,NaN,NaN,NaN,NaN
AJMERA.NS,-72633000,121397000,-111517000,45437000
AKASH.NS,-44337000.0,-19378718.0,-251974741.0,104931441.0
AKSHARCHEM.NS,263249000.0,-87776000.0,299291000.0,410842000.0
AKSHOPTFBR.NS,1193935000.0,876649000.0,265020000.0,834213000.0
AKZOINDIA.NS,2212000000.0,-356000000.0,514000000.0,-241000000.0
ALANKIT.NS,-94508000.0,186168000.0,277142000.0,18242229.0
ALBERTDAVD.NS,48000,-42952000,146250000,-97867000
ALCHEM.NS,-39782000.0,-67005000.0,-141650000.0,-144200000.0
ALEMBICLTD.NS,568497000.0,11695000.0,-14807000.0,-243000.0
ALICON.NS,-43867000.0,-12969000.0,2515000.0,-18942000.0
ALKALI.NS,94341835,69008534,44993272,41902767
ALKEM.NS,-731100000.0,823400000.0,800000.0,395800000.0
ALKYLAMINE.NS,118996000,171048000,18892000,-29930000
ALLCARGO.NS,597600000.0,-447000000.0,676300000.0,-106500000.0
ALLSEC.NS,NaN,NaN,NaN,NaN
ALMONDZ.NS,65300000,-89044793,75755679,-12977436
ALOKINDS.NS,NaN,NaN,NaN,NaN
ALPA.NS,52671000,-204412000,-153400000,400000
ALPHAGEO.NS,34530369.0,1090146665.0,589978038.0,187015435.0
ALPSINDUS.NS,-16784000,14506000,-22953000,-13496000
AMARAJABAT.NS,NaN,NaN,NaN,NaN
AMBER.NS,311632000.0,-805603000.0,1028202000.0,107706000.0
AMBIKCO.NS,8601000.0,11877000.0,-51662000.0,64316000.0
AMBUJACEM.NS,,,,
AMDIND.NS,182917000.0,239820000.0,294345000.0,294618000.0
AMJLAND.NS,32591000,-8936000,-6713000,10527000
AMRUTANJAN.NS,-73649000,32021000,18039000,18039000
ANANTRAJ.NS,NaN,NaN,NaN,NaN
ANDHRACEMT.NS,-1683173000,-1801349000,-710949000,-1031198000
ANDHRAPAP.NS,-3866000,-13604000,92374000,-28500000
ANDHRSUGAR.NS,-13460000,36502000,106312000,103705000
ANIKINDS.NS,NaN,NaN,NaN,NaN
ANKITMETAL.NS,-242000.0,-15748000.0,-4519000.0,-25453000.0
ANSALAPI.NS,-86422000.0,39738000.0,-166903000.0,
ANSALHSG.NS,6964000,-3315000,1801000,-11148000
ANUP.NS,429683000.0,419859000.0,-183429.0,
APARINDS.NS,NaN,NaN,NaN,NaN
APCL.NS,-102400000.0,23500000.0,43200000.0,22200000.0
APCOTEXIND.NS,9539000,8401000,253949000,-32180000
APEX.NS,583013000.0,489930000.0,329629000.0,143924000.0
APLAPOLLO.NS,2379700000,1482500000,1581300000,1521100000
